Solar radiative forcing from the CMIP6 dataset - TURNED OFF - EEM 10/17/22,,
Sources:,SOLARIS HEPPA v3.2 1850-2300 transient and 1850-1873 mean datasets,
,solarisheppa.geomar.de/news,
Method:,Take annual mean of total solar irradiance in transient dataset and subtract the 1850-1873 period mean.,
,Multiply this quantity by 0.25 * 0.7 (planetary view factor * planetary co-albedo).,
,Years prior to 1850 revert to the IPCC Annex II solar forcing. Years after 2300 set to zero.,
Year,Radiative forcing,Original Radiative Forcing
1765,0,-0.054
1766,0,-0.048
1767,0,-0.036
1768,0,0.016
1769,0,0.05
1770,0,0.081
1771,0,0.055
1772,0,0.052
1773,0,0.016
1774,0,-0.002
1775,0,-0.038
1776,0,-0.045
1777,0,-0.036
1778,0,0.017
1779,0,-0.034
1780,0,-0.069
1781,0,-0.057
1782,0,-0.028
1783,0,-0.065
1784,0,-0.059
1785,0,-0.046
1786,0,-0.022
1787,0,-0.001
1788,0,0.034
1789,0,-0.033
1790,0,-0.058
1791,0,-0.056
1792,0,-0.051
1793,0,-0.065
1794,0,-0.064
1795,0,-0.027
1796,0,-0.033
1797,0,-0.043
1798,0,-0.045
1799,0,-0.047
1800,0,-0.055
1801,0,-0.021
1802,0,-0.01
1803,0,-0.033
1804,0,-0.04
1805,0,-0.046
1806,0,-0.036
1807,0,-0.057
1808,0,-0.065
1809,0,-0.065
1810,0,-0.07
1811,0,-0.072
1812,0,-0.072
1813,0,-0.069
1814,0,-0.064
1815,0,-0.062
1816,0,-0.052
1817,0,-0.048
1818,0,-0.053
1819,0,-0.054
1820,0,-0.059
1821,0,-0.065
1822,0,-0.066
1823,0,-0.068
1824,0,-0.059
1825,0,-0.052
1826,0,-0.044
1827,0,-0.018
1828,0,-0.008
1829,0,-0.006
1830,0,0.002
1831,0,0.002
1832,0,-0.02
1833,0,-0.035
1834,0,-0.038
1835,0,-0.033
1836,0,0.017
1837,0,0.055
1838,0,0.051
1839,0,0.028
1840,0,0.027
1841,0,0.007
1842,0,-0.006
1843,0,-0.013
1844,0,-0.024
1845,0,-0.026
1846,0,-0.024
1847,0,-0.062
1848,0,-0.018
1849,0,0.043
1850,0,0.0210419
1851,0,0.0134796
1852,0,0.0127106
1853,0,-0.0009827
1854,0,-0.0201447
1855,0,-0.0318939
1856,0,-0.0352692
1857,0,-0.0268951
1858,0,-0.0036957
1859,0,0.0155304
1860,0,0.0299927
1861,0,0.0271301
1862,0,0.010553
1863,0,0.000769
1864,0,-0.0089081
1865,0,-0.0167053
1866,0,-0.0207428
1867,0,-0.0267456
1868,0,-0.0133514
1869,0,0.0110443
1870,0,0.0128387
1871,0,0.0276215
1872,0,0.0196106
1873,0,0.006665
1874,0,-0.0047211
1875,0,-0.0261688
1876,0,-0.03591
1877,0,-0.0421906
1878,0,-0.0501801
1879,0,-0.0484711
1880,0,-0.0293518
1881,0,-0.0027771
1882,0,-0.0085236
1883,0,-0.0126251
1884,0,0.0192902
1885,0,-0.000769
1886,0,-0.0228149
1887,0,-0.0368927
1888,0,-0.0424042
1889,0,-0.0443695
1890,0,-0.0396057
1891,0,-0.0048492
1892,0,0.0237549
1893,0,0.0463562
1894,0,0.0736786
1895,0,0.0480865
1896,0,0.012561
1897,0,-0.0096771
1898,0,-0.0202728
1899,0,-0.0327911
1900,0,-0.0401398
1901,0,-0.0525726
1902,0,-0.0496033
1903,0,-0.0243958
1904,0,0.0209991
1905,0,0.000705
1906,0,0.0341797
1907,0,0.0153809
1908,0,0.0271942
1909,0,0.0043152
1910,0,-0.0128387
1911,0,-0.0374908
1912,0,-0.0469971
1913,0,-0.0448608
1914,0,-0.0261688
1915,0,0.0281342
1916,0,0.0722046
1917,0,0.1008942
1918,0,0.1067474
1919,0,0.0613312
1920,0,0.0193756
1921,0,-0.0069
1922,0,-0.0309753
1923,0,-0.0365723
