Year,CO2_Wm-2,CH4_Wm-2,N2O_Wm-2,Minor_GHGs_Wm-2,TropO3_Wm-2,StratO3_Wm-2,StratH2O_CH4ox_Wm-2,Contrails,Aerosols,SnowBC_Wm-2,Landuse_Wm-2,Volcanic_Wm-2,Solar_Wm-2
1765.0,2.6232933007698172e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0012974915814745,0.0,-0.0,0.104971077,-0.054
1766.0,9.242970090937949e-05,0.00025992474222028163,3.833187727127604e-05,-2.3326092660980184e-09,0.0006070554928046072,-0.0,3.119096906643379e-05,0.0,-0.0032997057903983154,0.0005290383189122372,-6.0743936354399994e-06,0.107048,-0.048
1767.0,0.00019099444743032719,0.0007823883790447027,0.00011535429536090153,-3.2528685113391024e-09,0.0010206925929849395,-0.0,9.388660548536432e-05,0.0,-0.005167509431298094,0.00065949369592089,-1.822318204421e-05,0.107048,-0.036
1768.0,0.0003188720102051044,0.001291971044885607,0.00019107026730198328,-3.6614453327317165e-09,0.0014259476670550894,-0.0,0.00015503652538627284,0.0,-0.007031601930843825,0.0007903424969097652,-3.644636408841999e-05,0.107048,0.016
1769.0,0.0004743404867404451,0.0017857867836706136,0.00026562794713509333,-3.8967973001078346e-09,0.0016719170751825535,-0.0,0.0002142944140404736,0.0,-0.00889201195093981,0.0009215968355995056,-6.074393976806999e-05,0.107048,0.05
1770.0,0.0006561206365865658,0.002262874964889252,0.000339105774394427,-4.083498589622536e-09,0.0018640735551804424,-0.0,0.0002715449957867102,0.0,-0.010748767725905745,0.001053269369592089,-9.111591022104999e-05,0.107048,0.081
1771.0,0.0008719154661225186,0.0027265734577479237,0.000411513010585431,-4.267413672245369e-09,0.002027631566209994,-0.0,0.0003271888149297508,0.0,-0.012606631558615874,0.0011853729542645242,-0.00012756227430946998,0.107048,0.055
1772.0,0.0011097082077522725,0.00318100566333652,0.00048279035081830635,-4.465434535049439e-09,0.0023788130928198746,-0.0,0.00038172067960038237,0.0,-0.014456164991980212,0.0013179209394313968,-0.00017008303203332997,0.058586462,0.052
1773.0,0.0013698996277800722,0.0036270773280951776,0.0005530843937220674,-4.683797233674624e-09,0.0029664340420610894,-0.0,0.0004352492793714213,0.0,-0.016302130060344856,0.0014509270704573549,-0.00021867818453051994,0.093201846,0.016
1774.0,0.0016522188991925227,0.004063849685517951,0.0006226089928112258,-4.924818817293897e-09,0.0035547677848261246,-0.0,0.0004876619622621541,0.0,-0.018144555763120396,0.0015844054882571076,-0.00027334773066314995,0.103586462,-0.002
