Year,TempAnom_K
1765.0,0.005060849842558355
1766.0,0.009262250086953874
1767.0,0.013629014530117766
1768.0,0.02174959630655503
1769.0,0.031183566806438755
1770.0,0.041380376126215375
1771.0,0.04702286519039343
1772.0,0.04680242832072652
1773.0,0.046527731048503926
1774.0,0.04564694861425037
1775.0,0.04197318298726921
1776.0,0.038548719106805275
1777.0,0.03670268796974329
1778.0,0.03587456847031918
1779.0,0.030376574378539994
1780.0,0.026240728957137898
1781.0,0.024977428168931993
1782.0,0.026809023998067127
1783.0,-0.46738152797444216
1784.0,-0.3959014832801445
1785.0,-0.31368541276601164
1786.0,-0.24121022043492638
1787.0,-0.18093315584579592
1788.0,-0.13870695165585395
1789.0,-0.105894744651599
1790.0,-0.08041275860629313
1791.0,-0.05972946500253915
1792.0,-0.042965749257406996
1793.0,-0.031049290367969478
1794.0,-0.03141100601261987
1795.0,-0.018486151541696288
1796.0,-0.057773732595933575
1797.0,-0.045061064192926485
1798.0,-0.031777721791690146
1799.0,-0.020602372112011318
1800.0,-0.01236759604272905
1801.0,-0.012407933095355813
1802.0,-0.0047369848085524425
1803.0,0.0016052481848620702
1804.0,-0.007711538136750103
1805.0,-0.005442517943292103
1806.0,0.0007158219122904768
1807.0,0.004600170719478045
1808.0,0.007136699629538371
1809.0,-0.4261008157967327
1810.0,-0.4732089478238403
1811.0,-0.4218030891676932
1812.0,-0.3484994391999258
1813.0,-0.2782685520414346
1814.0,-0.2158576060534857
1815.0,-0.8953579643705774
1816.0,-0.9857370097496554
1817.0,-0.9232758301076719
1818.0,-0.7808998373256105
1819.0,-0.6332534952254263
1820.0,-0.49925895253058916
1821.0,-0.392215791040342
1822.0,-0.3082705389581984
1823.0,-0.24251037269092435
1824.0,-0.1900010632005772
1825.0,-0.1480500875672577
1826.0,-0.11427710083612358
1827.0,-0.08527799527017114
1828.0,-0.061457727260262135
1829.0,-0.04241454099601322
1830.0,-0.026566840256417732
1831.0,-0.11031831649786093
1832.0,-0.1586807970118679
1833.0,-0.15888433186568335
1834.0,-0.13530460356304352
1835.0,-0.4114898158292152
1836.0,-0.40548944576603535
1837.0,-0.33964937412395024
1838.0,-0.2675470340491827
1839.0,-0.20521531846699548
1840.0,-0.1548493595354304
1841.0,-0.11481265390995843
1842.0,-0.08372757098065303
1843.0,-0.0628037456308397
1844.0,-0.04476081979164725
1845.0,-0.029848933739251744
1846.0,-0.021981683321621537
1847.0,-0.015814131844476692
1848.0,-0.005813205401782887
1849.0,0.008056999286078503
1850.0,0.017275401706534743
1851.0,0.023811229433239767
1852.0,0.02533350046918393
1853.0,0.029399609829716872
1854.0,0.031365930030242045
1855.0,0.03211594219624361
1856.0,0.03267230643464372
1857.0,0.034163407536206565
1858.0,0.037728093482720576
1859.0,0.042558942609054934
1860.0,0.04795549769308308
1861.0,0.020896273856029005
1862.0,-0.010743853503563473
1863.0,-0.010220034695869597
1864.0,0.0006813835319258547
1865.0,0.012171095777117415
1866.0,0.021105759270793334
1867.0,0.027809291915794215
1868.0,0.0345297189503361
1869.0,0.042264808566659665
1870.0,0.048768634615696346
1871.0,0.05536483371393462
1872.0,0.05969081508904718
1873.0,0.05645343744668413
1874.0,0.05888438397445832
1875.0,0.05946075886864807
1876.0,0.05929775791238441
1877.0,0.05886297444647503
1878.0,0.05806756466067513
1879.0,0.05775650679610994
1880.0,0.057531522936831364
1881.0,0.06001433447062431
1882.0,0.06369506201465451
1883.0,0.02709553135114692
1884.0,-0.09938940258390283
1885.0,-0.11478982809610991
1886.0,-0.0847753622999411
1887.0,-0.06936908394791226
1888.0,-0.043720048956079643
1889.0,-0.02024733776933335
1890.0,-0.010624945271668438
1891.0,-0.007553625988773464
1892.0,0.0083300388336639
1893.0,0.029608394962312976
1894.0,0.04922101832260205
1895.0,0.06243444363514566
1896.0,0.06977467955155643
1897.0,0.07372312918034693
1898.0,0.07608318893654722
1899.0,0.0770624403886559
1900.0,0.07746337183233803
1901.0,0.07690975589597882
1902.0,0.05759102920818829
1903.0,-0.01198263598303672
1904.0,-0.0235038995135207
1905.0,-0.005295116033975627
1906.0,0.020100113849925647
1907.0,0.03627916322240929
1908.0,0.05290756759210895
1909.0,0.06566555851214544
1910.0,0.07464439630544686
1911.0,0.0802944571045642
1912.0,0.03685514591868004
1913.0,0.013007087811125351
1914.0,0.02137410358884543
1915.0,0.04604679256061781
1916.0,0.07216325778895985
1917.0,0.09619334296334672
1918.0,0.11651424495695968
1919.0,0.12922011046901843
1920.0,0.13637847729001756
1921.0,0.13991913606212708
1922.0,0.13724609420296888
1923.0,0.13709356543065604
1924.0,0.1407576048140059
1925.0,0.14702153280647964
1926.0,0.1560890438444256
1927.0,0.16679663329139302
1928.0,0.17255285478049712
1929.0,0.17265851855866507
1930.0,0.17880806724920262
1931.0,0.18143714633466942
1932.0,0.17686218860534741
1933.0,0.17716258644154892
1934.0,0.1801261787906632
1935.0,0.1863911620940046
1936.0,0.1991292033457532
1937.0,0.21023584305844303
1938.0,0.21825616044625112
1939.0,0.22486123493661
1940.0,0.22838421535224476
1941.0,0.23010319443256702
1942.0,0.23005057819107286
1943.0,0.22860743544132933
1944.0,0.22906270375525964
1945.0,0.23455768840965294
1946.0,0.2418411773872083
1947.0,0.25431640008330275
1948.0,0.26718527499163497
1949.0,0.2764597375303372
1950.0,0.28090253597549897
1951.0,0.27920785173912355
1952.0,0.27795467359635573
1953.0,0.27573247615437346
1954.0,0.27440569589876473
1955.0,0.2772910225094605
1956.0,0.2876587840190046
1957.0,0.3035109763076981
